,survived,pclass,sex,age,sibsp,parch,fare,embarked,title,cabin_deck,family_size,name_length
0,0,3,1,22.0,1,0,7.25,2,2,U,2,23
1,1,1,0,38.0,1,0,71.2833,0,3,C,2,51
2,1,3,0,26.0,0,0,7.925,2,1,U,1,22
3,1,1,0,35.0,1,0,53.1,2,3,C,2,44
4,0,3,1,35.0,0,0,8.05,2,2,U,1,24
5,0,3,1,30.0,0,0,8.4583,1,2,U,1,16
6,0,1,1,54.0,0,0,51.8625,2,2,E,1,23
7,0,3,1,2.0,3,1,21.075,2,0,U,5,30
8,1,3,0,27.0,0,2,11.1333,2,3,U,3,49
9,1,2,0,14.0,1,0,30.0708,0,3,U,2,35
10,1,3,0,4.0,1,1,16.7,2,1,G,3,31
11,1,1,0,58.0,0,0,26.55,2,1,C,1,24
12,0,3,1,20.0,0,0,8.05,2,2,U,1,30
13,0,3,1,39.0,1,5,31.275,2,2,U,7,27
14,0,3,0,14.0,0,0,7.8542,2,1,U,1,36
15,1,2,0,55.0,0,0,16.0,2,3,U,1,32
16,0,3,1,2.0,4,1,29.125,1,0,U,6,20
17,1,2,1,30.0,0,0,13.0,2,2,U,1,28
18,0,3,0,31.0,1,0,18.0,2,3,U,2,55
19,1,3,0,35.0,0,0,7.225,0,3,U,1,23
20,0,2,1,35.0,0,0,26.0,2,2,U,1,20
21,1,2,1,34.0,0,0,13.0,2,2,D,1,21
22,1,3,0,15.0,0,0,8.0292,1,1,U,1,27
23,1,1,1,28.0,0,0,35.5,2,2,A,1,28
24,0,3,0,8.0,3,1,21.075,2,1,U,5,29
25,1,3,0,38.0,1,5,31.3875,2,3,U,7,57
26,0,3,1,30.0,0,0,7.225,0,2,U,1,23
27,0,1,1,19.0,3,2,263.0,2,2,C,6,30
28,1,3,0,21.0,0,0,7.8792,1,1,U,1,29
29,0,3,1,30.0,0,0,7.8958,2,2,U,1,19
30,0,1,1,40.0,0,0,27.7208,0,4,U,1,24
31,1,1,0,35.0,1,0,146.5208,0,3,B,2,46
32,1,3,0,21.0,0,0,7.75,1,1,U,1,24
33,0,2,1,66.0,0,0,10.5,2,2,U,1,21
34,0,1,1,28.0,1,0,82.1708,0,2,U,2,23
35,0,1,1,42.0,1,0,52.0,2,2,U,2,30
36,1,3,1,30.0,0,0,7.2292,0,2,U,1,16
37,0,3,1,21.0,0,0,8.05,2,2,U,1,24
38,0,3,0,18.0,2,0,18.0,2,1,U,3,34
39,1,3,0,14.0,1,0,11.2417,0,1,U,2,27
40,0,3,0,40.0,1,0,9.475,2,3,U,2,46
41,0,2,0,27.0,1,0,21.0,2,3,U,2,56
42,0,3,1,30.0,0,0,7.8958,0,2,U,1,19
43,1,2,0,3.0,1,2,41.5792,0,1,U,4,40
44,1,3,0,19.0,0,0,7.8792,1,1,U,1,29
45,0,3,1,30.0,0,0,8.05,2,2,U,1,24
46,0,3,1,30.0,1,0,15.5,1,2,U,2,17
47,1,3,0,21.0,0,0,7.75,1,1,U,1,25
48,0,3,1,30.0,2,0,21.6792,0,2,U,3,19
49,0,3,0,18.0,1,0,17.8,2,3,U,2,45
50,0,3,1,7.0,4,1,39.6875,2,0,U,6,26
51,0,3,1,21.0,0,0,7.8,2,2,U,1,28
52,1,1,0,49.0,1,0,76.7292,0,3,D,2,40
53,1,2,0,29.0,1,0,26.0,2,3,U,2,50
54,0,1,1,65.0,0,1,61.9792,0,2,B,2,30
55,1,1,1,30.0,0,0,35.5,2,2,C,1,17
56,1,2,0,21.0,0,0,10.5,2,1,U,1,17
57,0,3,1,28.5,0,0,7.2292,0,2,U,1,19
58,1,2,0,5.0,1,2,27.75,2,1,U,4,28
59,0,3,1,11.0,5,2,46.9,2,0,U,8,34
