Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,title,cabin_deck,family_size,name_length,is_alone,fare_per_person,class_fare,fare_log,age_child,age_teen,age_young,age_adult,age_senior,is_child_female
0,0,3,1,22.0,1,0,7.25,2,2,U,2,23,0,3.625,21.75,2.1102132003465894,False,False,True,False,False,0
1,1,1,0,38.0,1,0,71.2833,0,3,C,2,51,0,35.64165,71.2833,4.2805931204649,False,False,False,True,False,0
2,1,3,0,26.0,0,0,7.925,2,1,U,1,22,1,7.925,23.775,2.188856327665703,False,False,True,False,False,0
3,1,1,0,35.0,1,0,53.1,2,3,C,2,44,0,26.55,53.1,3.9908341858524357,False,False,True,False,False,0
4,0,3,1,35.0,0,0,8.05,2,2,U,1,24,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
5,0,3,1,30.0,0,0,8.4583,1,2,U,1,16,1,8.4583,25.374899999999997,2.246892662898172,False,False,True,False,False,0
6,0,1,1,54.0,0,0,51.8625,2,2,E,1,23,1,51.8625,51.8625,3.967694202798607,False,False,False,True,False,0
7,0,3,1,2.0,3,1,21.075,2,0,U,5,30,0,4.215,63.224999999999994,3.0944457464900235,True,False,False,False,False,0
8,1,3,0,27.0,0,2,11.1333,2,3,U,3,49,0,3.7111,33.3999,2.495953738718064,False,False,True,False,False,0
9,1,2,0,14.0,1,0,30.0708,0,3,U,2,35,0,15.0354,60.1416,3.436268471383741,False,True,False,False,False,0
10,1,3,0,4.0,1,1,16.7,2,1,G,3,31,0,5.566666666666666,50.099999999999994,2.8735646395797834,True,False,False,False,False,1
11,1,1,0,58.0,0,0,26.55,2,1,C,1,24,1,26.55,26.55,3.3160025355989236,False,False,False,True,False,0
12,0,3,1,20.0,0,0,8.05,2,2,U,1,30,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
13,0,3,1,39.0,1,5,31.275,2,2,U,7,27,0,4.4678571428571425,93.82499999999999,3.4742929367327062,False,False,False,True,False,0
14,0,3,0,14.0,0,0,7.8542,2,1,U,1,36,1,7.8542,23.5626,2.180891922715322,False,True,False,False,False,0
15,1,2,0,55.0,0,0,16.0,2,3,U,1,32,1,16.0,32.0,2.833213344056216,False,False,False,True,False,0
16,0,3,1,2.0,4,1,29.125,1,0,U,6,20,0,4.854166666666667,87.375,3.405355391810819,True,False,False,False,False,0
17,1,2,1,30.0,0,0,13.0,2,2,U,1,28,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
18,0,3,0,31.0,1,0,18.0,2,3,U,2,55,0,9.0,54.0,2.9444389791664403,False,False,True,False,False,0
19,1,3,0,35.0,0,0,7.225,0,3,U,1,23,1,7.225,21.674999999999997,2.1071782966514356,False,False,True,False,False,0
20,0,2,1,35.0,0,0,26.0,2,2,U,1,20,1,26.0,52.0,3.295836866004329,False,False,True,False,False,0
21,1,2,1,34.0,0,0,13.0,2,2,D,1,21,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
22,1,3,0,15.0,0,0,8.0292,1,1,U,1,27,1,8.0292,24.0876,2.2004637699272855,False,True,False,False,False,0
23,1,1,1,28.0,0,0,35.5,2,2,A,1,28,1,35.5,35.5,3.597312260588446,False,False,True,False,False,0
24,0,3,0,8.0,3,1,21.075,2,1,U,5,29,0,4.215,63.224999999999994,3.0944457464900235,True,False,False,False,False,1
25,1,3,0,38.0,1,5,31.3875,2,3,U,7,57,0,4.483928571428572,94.1625,3.4777725458882283,False,False,False,True,False,0
26,0,3,1,30.0,0,0,7.225,0,2,U,1,23,1,7.225,21.674999999999997,2.1071782966514356,False,False,True,False,False,0
27,0,1,1,19.0,3,2,263.0,2,2,C,6,30,0,43.833333333333336,263.0,5.575949103146316,False,False,True,False,False,0
28,1,3,0,21.0,0,0,7.8792,1,1,U,1,29,1,7.8792,23.6376,2.1837114628556327,False,False,True,False,False,0
29,0,3,1,30.0,0,0,7.8958,2,2,U,1,19,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
30,0,1,1,40.0,0,0,27.7208,0,4,U,1,24,1,27.7208,27.7208,3.357621598945279,False,False,False,True,False,0
31,1,1,0,35.0,1,0,146.5208,0,3,B,2,46,0,73.2604,146.5208,4.993969182787072,False,False,True,False,False,0
32,1,3,0,21.0,0,0,7.75,1,1,U,1,24,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
33,0,2,1,66.0,0,0,10.5,2,2,U,1,21,1,10.5,21.0,2.4423470353692043,False,False,False,False,True,0
34,0,1,1,28.0,1,0,82.1708,0,2,U,2,23,0,41.0854,82.1708,4.420896324687287,False,False,True,False,False,0
