name,year_int,duration,rating,votes,genre_split,genre_count,director_avg_rating,actor_popularity
#Gadhvi (He thought he was Gandhi),(2019),109 min,7.0,8.0,['Drama'],1,7.0,
#Yaaram,(2019),110 min,4.4,35.0,"['Comedy', ' Romance']",2,4.4,
...Aur Pyaar Ho Gaya,(1997),147 min,4.7,827.0,"['Comedy', ' Drama', ' Musical']",3,5.358823529411764,
...Yahaan,(2005),142 min,7.4,1086.0,"['Drama', ' Romance', ' War']",3,7.5,
?: A Question Mark,(2012),82 min,5.6,326.0,"['Horror', ' Mystery', ' Thriller']",3,5.6,
@Andheri,(2014),116 min,4.0,11.0,"['Action', ' Crime', ' Thriller']",3,4.0,4.183333333333334
1:1.6 An Ode to Lost Love,(2004),96 min,6.2,17.0,['Drama'],1,6.2,
1:13:7 Ek Tera Saath,(2016),120 min,5.9,59.0,['Horror'],1,6.95,
100 Days,(1991),161 min,6.5,983.0,"['Horror', ' Romance', ' Thriller']",3,4.79,
100% Love,(2012),166 min,5.7,512.0,"['Comedy', ' Drama', ' Romance']",3,5.7,5.8999999999999995
102 Not Out,(2018),102 min,7.4,6619.0,"['Comedy', ' Drama']",2,6.225,
10ml LOVE,(2010),87 min,6.3,162.0,"['Comedy', ' Drama', ' Romance']",3,6.975,
12 O'Clock,(1958),132 min,7.2,72.0,"['Crime', ' Drama', ' Mystery']",3,6.305555555555555,
12 O'Clock,(2021),105 min,4.4,63.0,"['Horror', ' Thriller']",2,5.491176470588235,
127 B,(2017),116 min,6.6,26.0,"['Comedy', ' Horror']",2,6.6,
13B: Fear Has a New Address,(2009),146 min,7.3,6329.0,"['Drama', ' Horror', ' Mystery']",3,7.3,
15 Park Avenue,(2005),116 min,7.1,1002.0,['Drama'],1,6.816666666666666,
15th August,(1993),168 min,5.6,15.0,['Drama'],1,5.3,
16 December,(2002),158 min,6.9,1235.0,"['Action', ' Thriller']",2,5.7,
18.11,(2014),126 min,3.5,10.0,['Action'],1,3.5,
1857,(1946),,5.0,8.0,"['Drama', ' History']",2,6.775,
19 Revolutions,(2004),94 min,4.5,16.0,['Drama'],1,4.5,
1920,(2008),138 min,6.4,3100.0,"['Horror', ' Mystery', ' Romance']",3,4.833333333333333,5.692063492063492
1920 London,(2016),120 min,4.1,1559.0,"['Horror', ' Mystery']",2,5.6,
1920: Evil Returns,(2012),124 min,4.8,1811.0,"['Drama', ' Horror', ' Romance']",3,3.775,
1921,(2018),144 min,4.5,1069.0,"['Horror', ' Mystery', ' Romance']",3,4.833333333333333,
1942: A Love Story,(1994),157 min,7.2,3223.0,"['Action', ' Drama', ' History']",3,6.575,
1971,(2007),136 min,8.1,1892.0,"['Action', ' Drama', ' War']",3,6.199999999999999,
1978: A Teen Night Out,(2019),107 min,4.0,20.0,['Thriller'],1,4.0,4.0
1982 - A Love Marriage,(2017),113 min,5.5,106.0,['Comedy'],1,5.5,5.5
19th January,(2014),,7.3,16.0,['Drama'],1,6.333333333333333,
2 Little Indians,(2013),,5.6,14.0,"['Comedy', ' Family']",2,5.6,
2 Nights in Soul Valley,(2012),80 min,6.8,21.0,"['Adventure', ' Horror', ' Mystery']",3,6.8,
2 October,(2003),122 min,5.0,33.0,"['Action', ' Crime', ' Thriller']",3,5.0,
2 States,(2014),149 min,6.9,24034.0,"['Comedy', ' Drama', ' Romance']",3,5.25,
2.0,(2018),148 min,6.2,21938.0,"['Action', ' Sci-Fi']",2,7.166666666666667,
2001: Do Hazaar Ek,(1998),149 min,3.5,112.0,"['Crime', ' Mystery', ' Thriller']",3,5.13125,
2016 the End,(2017),130 min,6.1,94.0,['Comedy'],1,5.949999999999999,
22 Days,(2018),124 min,6.1,8.0,['Thriller'],1,6.1,
22 June 1897,(1979),121 min,7.7,52.0,"['Drama', ' History']",2,7.35,
22 Yards,(2019),126 min,6.1,361.0,['Sport'],1,6.1,
23rd March 1931: Shaheed,(2002),188 min,5.1,642.0,"['Biography', ' Drama', ' History']",3,4.792307692307692,
25th July,(1951),,7.6,5.0,['Unknown'],1,7.6,
26 January,(1956),,6.6,7.0,['Unknown'],1,7.05,
26th July at Barista,(2008),,3.1,32.0,['Drama'],1,3.5999999999999996,
27 Down,(1974),115 min,6.9,194.0,['Drama'],1,6.9,
3 AM: A Paranormal Experience,(2014),103 min,5.0,514.0,"['Horror', ' Romance']",2,5.0,5.075
3 Bachelors,(2012),114 min,3.3,165.0,"['Comedy', ' Romance']",2,4.233333333333333,
3 Deewarein,(2003),115 min,7.8,2322.0,"['Crime', ' Drama']",2,6.991666666666667,
3 Dev,(2019),122 min,6.9,35.0,['Comedy'],1,5.966666666666666,
3 Idiots,(2009),170 min,8.4,357889.0,"['Comedy', ' Drama']",2,8.059999999999999,
3 Nights 4 Days,(2009),,5.2,23.0,"['Drama', ' Romance']",2,4.2,
3 Storeys,(2018),100 min,6.9,358.0,['Drama'],1,6.9,
3.0 Megapixel,(2015),99 min,4.3,6.0,"['Adventure', ' Drama']",2,4.3,4.955555555555556
30 Days,(2004),,5.0,14.0,['Horror'],1,4.9,
30 Minutes,(2016),,4.8,26.0,['Thriller'],1,4.8,
31st October,(2015),109 min,5.8,238.0,"['Action', ' Drama', ' History']",3,5.8,
340,(2009),,4.6,9.0,['Thriller'],1,4.6,
36 China Town,(2006),140 min,5.7,4373.0,"['Comedy', ' Mystery', ' Thriller']",3,5.777777777777778,
36 Chowringhee Lane,(1981),122 min,7.5,392.0,"['Drama', ' Romance']",2,6.816666666666666,
36 Ghante,(1974),,6.7,128.0,"['Action', ' Crime', ' Drama']",3,6.666666666666667,
376 D,(2020),128 min,5.7,252.0,"['Crime', ' Thriller']",2,5.7,
377 AbNormal,(2019),93 min,5.6,93.0,['Drama'],1,6.366666666666667,
3D Saamri,(1985),102 min,5.6,80.0,['Horror'],1,5.436,
3G: A Killer Connection,(2013),125 min,3.6,1128.0,"['Horror', ' Sci-Fi', ' Thriller']",3,4.15,
3rd EYE,(2019),145 min,6.3,6.0,['Horror'],1,6.3,
